Acompanhantes por faixa etária,Atrativos visitados,Cidade e estado de origem,Data de chegada,Data de partida,Gasto médio diário em Olímpia,Grau de escolaridade,Motivo da viagem,Ocupação profissional,Perfil_Latente_Gerador,Renda familiar
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-12-25,2021-12-30,1836.6,Pós-graduação,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Até 3 salários mínimos
Casal,Hoteis,Belo Horizonte - MG,2021-01-21,2021-01-25,1099.44,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,3 a 6 salários mínimos
Família com crianças,Hoteis,Belo Horizonte - MG,2021-12-26,2021-12-31,977.09,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,São José do Rio Preto - SP,2022-01-01,2022-01-06,1096.69,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,Mais de 10 salários mínimos
Casal,Hoteis,Belo Horizonte - MG,2021-12-31,2022-01-05,1208.85,Superior Incompleto,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-08-13,2021-08-18,444.63,Superior Incompleto,Visitar familiares,Estudante,Turista fiel premium,3 a 6 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Curitiba - PR,2021-03-01,2021-03-03,1445.06,Superior Completo,Visitar familiares,Servidor Público,Turista fiel premium,Mais de 10 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-06-05,2021-06-10,1330.45,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-06-04,2021-06-07,1541.75,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,Mais de 10 salários mínimos
Sozinho,Hoteis,São Paulo - SP,2021-12-31,2022-01-05,976.82,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,Curitiba - PR,2021-10-10,2021-10-13,854.35,Ensino Médio,Visitar familiares,Estudante,Turista fiel premium,Mais de 10 salários mínimos
Sozinho,Hoteis,Belo Horizonte - MG,2021-10-11,2021-10-13,1969.19,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,Até 3 salários mínimos
Família com crianças,Participar de eventos da cidade,São José do Rio Preto - SP,2021-12-26,2021-12-31,1463.65,Superior Incompleto,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Sozinho,Hoteis,São José do Rio Preto - SP,2021-12-30,2022-01-04,1794.01,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,Mais de 10 salários mínimos
Grupo de amigos,Hoteis,Campinas - SP,2021-10-12,2021-10-15,193.84,Superior Completo,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,3 a 6 salários mínimos
Casal,Hoteis,São José do Rio Preto - SP,2021-12-26,2021-12-31,904.03,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,3 a 6 salários mínimos
Família com crianças,Hoteis,Belo Horizonte - MG,2021-12-30,2022-01-04,1089.3,Ensino Médio,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,Belo Horizonte - MG,2021-06-02,2021-06-05,1332.12,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,3 a 6 salários mínimos
Sozinho,Hoteis,São Paulo - SP,2021-02-07,2021-02-11,1594.57,Superior Completo,Negócios,Assalariado,Turista fiel premium,Mais de 10 salários mínimos
Casal,Hoteis,Curitiba - PR,2021-01-18,2021-01-21,401.44,Pós-graduação,Visitar familiares,CLT,Turista fiel premium,3 a 6 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-12-20,2021-12-23,171.28,Ensino Médio,Visitar familiares,Servidor Público,Turista fiel premium,Até 3 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-12-31,2022-01-02,990.77,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,Mais de 10 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-12-30,2022-01-01,1508.9,Pós-graduação,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,São José do Rio Preto - SP,2021-12-31,2022-01-03,1424.73,Superior Incompleto,Visitar familiares,CLT,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2022-01-01,2022-01-03,984.51,Superior Completo,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,São José do Rio Preto - SP,2022-01-01,2022-01-04,1740.55,Superior Completo,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-06-05,2021-06-09,1398.52,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,6 a 10 salários mínimos
Grupo de amigos,Hoteis,São Paulo - SP,2022-01-01,2022-01-06,885.61,Superior Incompleto,Visitar familiares,Servidor Público,Turista fiel premium,3 a 6 salários mínimos
